798	114	113	2
651	93	73	1
707	101	103	2
931	133	138	1
742	106	82	1
714	102	124	2
462	66	140	2
1421	203	101	1
1064	152	156	2
1071	153	107	1
882	126	101	2
882	126	102	1
609	87	84	1
1526	218	94	1
798	114	115	1
756	108	132	1
861	123	106	1
1148	164	198	1
819	117	70	2
1197	171	102	2
567	81	56	1
910	130	134	1
791	113	99	1
560	80	134	1
707	101	120	2
931	133	134	1
854	122	124	1
665	95	78	2
1036	148	95	2
931	133	89	1
763	109	112	2
812	116	71	2
861	123	110	1
1078	154	199	1
812	116	113	1
630	90	96	1
966	138	88	1
616	88	92	2
532	76	183	2
721	103	101	1
791	113	101	1
567	81	97	2
742	106	77	2
560	80	105	2
1239	177	133	1
693	99	93	1
693	99	50	2
504	72	76	1
833	119	169	1
861	123	109	2
819	117	108	1
1015	145	104	2
553	79	162	2
840	120	84	2
1183	169	167	2
1547	221	132	2
889	127	125	2
700	100	88	2
1176	168	114	1
1099	157	114	2
497	71	99	2
707	101	55	1
721	103	167	2
1351	193	101	2
868	124	87	2
798	114	158	2
728	104	117	1
952	136	84	2
672	96	91	1
1645	235	104	1
819	117	170	2
1302	186	142	2
749	107	109	1
756	108	67	1
581	83	103	1
1071	153	96	1
1120	160	63	1
917	131	122	1
756	108	123	2
434	62	126	2
826	118	97	1
735	105	46	2
714	102	130	2
1547	221	131	2
875	125	116	2
1295	185	101	1
889	127	95	2
749	107	123	2
1162	166	162	2
1190	170	85	1
826	118	144	1
763	109	103	2
1106	158	183	2
1197	171	133	1
1085	155	103	1
875	125	108	2
1505	215	70	2
1078	154	106	1
791	113	108	2
721	103	121	2
686	98	100	1
896	128	104	2
770	110	52	1
728	104	101	2
798	114	70	2
714	102	72	2
721	103	119	2
756	108	100	1
952	136	123	2
518	74	124	1
1141	163	103	1
798	114	84	2
728	104	114	1
875	125	140	1
581	83	132	2
980	140	99	2
847	121	109	1
1526	218	120	2
567	81	148	2
896	128	170	1
1232	176	136	2
707	101	146	1
693	99	133	2
777	111	194	1
1414	202	73	1
798	114	64	2
658	94	150	2
819	117	101	2
1008	144	100	2
735	105	159	1
847	121	101	1
973	139	155	2
1036	148	87	2
861	123	98	2
476	68	169	2
826	118	176	2
763	109	133	2
707	101	110	1
805	115	135	2
714	102	99	2
784	112	100	2
1428	204	134	2
812	116	163	1
798	114	102	1
742	106	102	2
847	121	99	2
1113	159	186	1
819	117	130	1
791	113	110	1
938	134	155	2
1463	209	103	2
686	98	100	2
1162	166	134	1
756	108	108	2
672	96	78	1
1092	156	108	2
798	114	123	1
1001	143	101	1
728	104	154	2
1337	191	106	2
707	101	109	2
742	106	119	1
1022	146	103	1
1197	171	199	2
707	101	133	1
966	138	167	2
756	108	123	1
777	111	58	2
910	130	67	2
714	102	94	1
679	97	144	1
756	108	137	2
889	127	130	1
952	136	132	2
1547	221	73	2
1519	217	82	1
749	107	76	2
882	126	131	1
1001	143	104	2
791	113	103	2
1302	186	120	1
749	107	103	2
805	115	158	2
1155	165	78	1
707	101	117	1
525	75	99	1
602	86	139	2
1260	180	114	1
1022	146	99	2
938	134	148	1
1323	189	115	1
959	137	136	2
833	119	101	2
742	106	100	2
728	104	176	2
707	101	106	1
931	133	104	2
812	116	93	2
518	74	86	2
728	104	81	2
1309	187	149	2
1078	154	102	1
532	76	142	1
945	135	99	1
1204	172	118	1
1554	222	108	2
728	104	127	2
798	114	199	1
826	118	99	1
798	114	101	2
644	92	155	2
1106	158	77	1
994	142	138	1
742	106	112	1
1610	230	53	1
1239	177	187	2
847	121	105	1
735	105	102	2
714	102	96	2
1022	146	92	2
1050	150	116	1
763	109	111	2
875	125	114	1
854	122	121	1
847	121	125	1
882	126	76	2
1351	193	96	1
742	106	96	1
1106	158	126	1
1316	188	83	1
763	109	108	2
686	98	118	2
770	110	203	2
707	101	131	1
623	89	91	1
1106	158	120	1
504	72	87	2
742	106	55	2
574	82	85	2
630	90	94	1
777	111	154	2
959	137	112	2
1022	146	115	1
574	82	121	2
784	112	113	1
574	82	88	2
791	113	114	2
679	97	96	1
700	100	107	1
714	102	159	2
1477	211	199	1
1379	197	208	1
1232	176	207	2
1400	200	199	2
1750	250	199	2
1512	216	244	1
1778	254	218	1
1659	237	225	2
1617	231	241	1
1253	179	245	2
1561	223	225	2
1659	237	181	2
1498	214	221	2
1435	205	212	2
1344	192	249	2
1302	186	173	1
1393	199	200	2
1512	216	157	2
1806	258	261	2
1561	223	279	1
2317	331	193	1
2289	327	207	1
1561	223	260	1
1386	198	226	2
1792	256	210	2
1904	272	226	2
1743	249	266	2
1505	215	183	1
1365	195	247	1
2156	308	257	2
1834	262	233	1
1435	205	207	1
1512	216	210	2
1589	227	202	2
1547	221	247	1
1442	206	200	2
1386	198	182	2
1400	200	189	1
2100	300	220	2
1442	206	215	2
1456	208	250	2
1463	209	230	1
1239	177	175	2
1148	164	240	2
1190	170	178	1
1407	201	222	2
1400	200	220	2
1820	260	224	2
1428	204	224	2
1218	174	179	2
1351	193	295	1
1470	210	237	2
1309	187	203	1
1316	188	218	2
1638	234	201	2
1127	161	201	2
1736	248	231	2
1722	246	242	2
1484	212	189	2
1372	196	244	1
1680	240	207	1
2177	311	274	1
1162	166	229	2
1435	205	244	2
2093	299	180	2
1960	280	208	1
1694	242	198	1
1176	168	256	2
1561	223	205	1
1449	207	269	2
1995	285	220	1
1232	176	231	1
1575	225	282	1
1540	220	199	2
1554	222	206	2
1421	203	201	2
1421	203	180	2
2156	308	276	2
1582	226	200	1
1680	240	174	2
1694	242	180	2
1365	195	197	1
1302	186	200	1
1575	225	291	1
2233	319	227	1
1379	197	210	2
1400	200	199	2
1106	158	254	2
1344	192	213	1
2156	308	184	2
1484	212	262	1
1617	231	216	2
1358	194	210	1
1498	214	224	2
1953	279	206	2
2058	294	240	2
1379	197	204	1
1323	189	209	2
1526	218	143	2
1421	203	243	1
1778	254	261	1
1372	196	203	2
1498	214	191	2
1519	217	214	1
1365	195	224	1
1463	209	168	2
1645	235	198	2
1365	195	206	1
1358	194	202	1
1988	284	227	2
1918	274	248	2
1876	268	244	2
1379	197	197	1
1463	209	278	2
1617	231	184	2
1421	203	230	1
