;accuracy;nb;dicr;tree;knn;svm;ens;;;;precision;nb;dicr;tree;knn;svm;ens;;;;recall;nb;dicr;tree;knn;svm;ens;;;;macro_fscore;nb;dicr;tree;knn;svm;ens;;;; micro_fscore;nb;dicr;tree;knn;svm;ens;;;; RESERV;nb;dicr;tree;knn;svm;ens;;;; RESERV;nb;dicr;tree;knn;svm;ens;;;;

1;;0.932732;0.929775;0.957816;0.982407;0.934851;0.938498;;;;;0.216026;0.141456;0.496145;0.791009;0.224900;0.331898;;;;;0.192798;0.156925;0.493419;0.788950;0.218000;0.261930;;;;;0.248611;0.168139;0.486840;0.789040;0.236885;0.279114;;;;;0.192785;0.157303;0.493791;0.788882;0.218214;0.261975;;;;;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
2;;0.914709;0.908300;0.948926;0.982320;0.916766;0.924324;;;;;0.325391;0.251762;0.583629;0.867291;0.373716;0.423478;;;;;0.371919;0.240546;0.597370;0.868529;0.286000;0.330382;;;;;0.380761;0.295475;0.576406;0.865668;0.390150;0.397875;;;;;0.295996;0.243180;0.578642;0.853744;0.312827;0.374928;;;;;1723.000000;1723.000000;1723.000000;1723.000000;1723.000000;1723.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
3;;0.924173;0.918688;0.955817;0.985999;0.926023;0.935755;;;;;0.384744;0.327262;0.622636;0.893412;0.489030;0.502963;;;;;0.357047;0.264774;0.620042;0.888307;0.315610;0.380433;;;;;0.429258;0.369086;0.607594;0.888041;0.437812;0.481470;;;;;0.330887;0.282326;0.609260;0.876341;0.344438;0.428571;;;;;1771.000000;1771.000000;1771.000000;1771.000000;1771.000000;1771.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
4;;0.913563;0.907590;0.950844;0.986511;0.913389;0.930963;;;;;0.419280;0.368583;0.654416;0.919037;0.503906;0.598561;;;;;0.426941;0.318889;0.660144;0.917931;0.386531;0.479488;;;;;0.457021;0.398878;0.645060;0.917047;0.497465;0.516324;;;;;0.375496;0.335224;0.642655;0.898469;0.374362;0.494611;;;;;1763.000000;1763.000000;1763.000000;1763.000000;1763.000000;1763.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
5;;0.913528;0.911329;0.952147;0.988344;0.918232;0.934278;;;;;0.399200;0.412393;0.681902;0.927881;0.527626;0.615426;;;;;0.396745;0.322602;0.644393;0.928481;0.393852;0.507789;;;;;0.436941;0.421752;0.656161;0.926844;0.544579;0.550546;;;;;0.374929;0.360182;0.651730;0.916052;0.410097;0.520136;;;;;1763.000000;1763.000000;1763.000000;1763.000000;1763.000000;1763.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
6;;0.907727;0.903229;0.947166;0.988921;0.913981;0.939105;;;;;0.454138;0.424147;0.692109;0.935393;0.529474;0.655162;;;;;0.438016;0.353232;0.657878;0.930671;0.423006;0.560905;;;;;0.451151;0.467738;0.665248;0.930759;0.571552;0.596774;;;;;0.420666;0.404291;0.662902;0.924901;0.450593;0.576510;;;;;1771.000000;1771.000000;1771.000000;1771.000000;1771.000000;1771.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
