;accuracy;nb;dicr;tree;knn;svm;ens;;;;precision;nb;dicr;tree;knn;svm;ens;;;;recall;nb;dicr;tree;knn;svm;ens;;;;macro_fscore;nb;dicr;tree;knn;svm;ens;;;; micro_fscore;nb;dicr;tree;knn;svm;ens;;;; RESERV;nb;dicr;tree;knn;svm;ens;;;; RESERV;nb;dicr;tree;knn;svm;ens;;;;

1;;0.932732;0.929775;0.957816;0.982407;0.934851;0.938498;;;;;0.216026;0.141456;0.496145;0.791009;0.224900;0.331898;;;;;0.192798;0.156925;0.493419;0.788950;0.218000;0.261930;;;;;0.248611;0.168139;0.486840;0.789040;0.236885;0.279114;;;;;0.192785;0.157303;0.493791;0.788882;0.218214;0.261975;;;;;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
2;;0.934260;0.931746;0.959097;0.987778;0.934753;0.941159;;;;;0.254628;0.179080;0.510615;0.864155;0.257270;0.354822;;;;;0.204026;0.158535;0.495275;0.862693;0.201502;0.263658;;;;;0.247598;0.219229;0.487769;0.861471;0.269544;0.323529;;;;;0.211118;0.180958;0.509166;0.853341;0.217031;0.293909;;;;;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
3;;0.934658;0.932966;0.959954;0.990375;0.938286;0.941043;;;;;0.254084;0.209000;0.541463;0.895286;0.287675;0.400384;;;;;0.203844;0.174373;0.514910;0.891947;0.242986;0.273804;;;;;0.279782;0.228977;0.513180;0.891553;0.330910;0.329869;;;;;0.215903;0.195589;0.519442;0.884504;0.259431;0.292513;;;;;1723.000000;1723.000000;1723.000000;1723.000000;1723.000000;1723.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
4;;0.936888;0.934514;0.961615;0.992220;0.940418;0.946559;;;;;0.304220;0.243163;0.562492;0.919123;0.349144;0.435994;;;;;0.245745;0.196597;0.529255;0.908619;0.276654;0.338938;;;;;0.321544;0.282236;0.537644;0.910095;0.355586;0.419922;;;;;0.247330;0.218662;0.541878;0.907251;0.288926;0.362001;;;;;1779.000000;1779.000000;1779.000000;1779.000000;1779.000000;1779.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
5;;0.939432;0.934795;0.962228;0.992857;0.941953;0.948166;;;;;0.310959;0.231038;0.578749;0.926446;0.363906;0.459274;;;;;0.279633;0.205937;0.538819;0.922624;0.296082;0.367249;;;;;0.384715;0.284937;0.534295;0.921986;0.387435;0.447788;;;;;0.286872;0.234468;0.556996;0.916801;0.317126;0.388439;;;;;1851.000000;1851.000000;1851.000000;1851.000000;1851.000000;1851.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
