;accuracy;nb;dicr;tree;knn;svm;ens;;;;precision;nb;dicr;tree;knn;svm;ens;;;;recall;nb;dicr;tree;knn;svm;ens;;;;macro_fscore;nb;dicr;tree;knn;svm;ens;;;; micro_fscore;nb;dicr;tree;knn;svm;ens;;;; RESERV;nb;dicr;tree;knn;svm;ens;;;; RESERV;nb;dicr;tree;knn;svm;ens;;;;

1;;0.932732;0.929775;0.957816;0.982407;0.934851;0.938498;;;;;0.216026;0.141456;0.496145;0.791009;0.224900;0.331898;;;;;0.192798;0.156925;0.493419;0.788950;0.218000;0.261930;;;;;0.248611;0.168139;0.486840;0.789040;0.236885;0.279114;;;;;0.192785;0.157303;0.493791;0.788882;0.218214;0.261975;;;;;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;1691.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
2;;0.923522;0.920951;0.950969;0.980562;0.924015;0.931258;;;;;0.252834;0.237097;0.558599;0.815726;0.303961;0.390612;;;;;0.245603;0.171256;0.489493;0.810241;0.185324;0.243629;;;;;0.291776;0.264087;0.486633;0.810184;0.313460;0.345990;;;;;0.246046;0.224370;0.517282;0.807264;0.253662;0.325132;;;;;1707.000000;1707.000000;1707.000000;1707.000000;1707.000000;1707.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
3;;0.925275;0.917858;0.950635;0.981631;0.924324;0.932025;;;;;0.344968;0.284952;0.602269;0.844142;0.372032;0.484729;;;;;0.306390;0.185797;0.515395;0.836514;0.239594;0.318533;;;;;0.379011;0.344393;0.533819;0.832492;0.404733;0.418620;;;;;0.330484;0.265527;0.558405;0.833049;0.323647;0.392023;;;;;1755.000000;1755.000000;1755.000000;1755.000000;1755.000000;1755.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
4;;0.922414;0.916604;0.951101;0.982826;0.922275;0.935321;;;;;0.356807;0.296092;0.606887;0.852795;0.450461;0.555375;;;;;0.323404;0.191877;0.522478;0.847079;0.237490;0.343767;;;;;0.396257;0.353310;0.558424;0.839915;0.438079;0.492624;;;;;0.340896;0.289280;0.582530;0.850822;0.340896;0.448100;;;;;1763.000000;1763.000000;1763.000000;1763.000000;1763.000000;1763.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
5;;0.928200;0.921142;0.953772;0.985054;0.925725;0.940746;;;;;0.392166;0.327860;0.657499;0.881019;0.444403;0.585094;;;;;0.390429;0.229544;0.588740;0.866069;0.273452;0.438366;;;;;0.468684;0.384809;0.600981;0.865584;0.466672;0.554604;;;;;0.405463;0.345474;0.615962;0.874130;0.384574;0.506160;;;;;1867.000000;1867.000000;1867.000000;1867.000000;1867.000000;1867.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
6;;0.928187;0.920684;0.953307;0.985602;0.925951;0.940192;;;;;0.406321;0.303015;0.642287;0.905707;0.515721;0.593385;;;;;0.411674;0.241217;0.598285;0.860697;0.286515;0.439101;;;;;0.474940;0.430844;0.604043;0.871077;0.531394;0.545543;;;;;0.414322;0.351918;0.618414;0.881841;0.396419;0.509974;;;;;1955.000000;1955.000000;1955.000000;1955.000000;1955.000000;1955.000000;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;;;;
